mcc_cat_desc,total,transactions,doy,hour
APPLIANCES,217.33,2,322,11
APPLIANCES,280.8,2,322,12
APPLIANCES,133.58,2,322,14
APPLIANCES,43.81,1,322,16
APPLIANCES,103.43,1,322,18
APPLIANCES,62.29,2,323,8
APPLIANCES,54.13,1,323,11
APPLIANCES,145.8,3,323,12
APPLIANCES,26.5,1,323,14
APPLIANCES,176.12,2,323,15
APPLIANCES,74.41,1,323,17
APPLIANCES,81.25,3,323,18
APPLIANCES,26.81,1,324,9
APPLIANCES,185.5,1,324,10
APPLIANCES,113.72,2,324,12
APPLIANCES,111.82,3,324,13
APPLIANCES,246.5,2,324,15
APPLIANCES,27.13,1,324,16
APPLIANCES,65,1,324,17
APPLIANCES,108,2,324,19
APPLIANCES,24.3,1,324,20
APPLIANCES,3.83,1,325,8
APPLIANCES,117.62,3,325,9
APPLIANCES,26.5,1,325,10
APPLIANCES,93.55,2,325,11
APPLIANCES,100,1,325,13
APPLIANCES,76.46,2,325,14
APPLIANCES,79.32,3,325,17
APPLIANCES,27.25,1,325,20
APPLIANCES,120.85,2,326,7
APPLIANCES,130.78,2,326,8
APPLIANCES,95.12,4,326,9
APPLIANCES,178.04,1,326,10
APPLIANCES,27,1,326,11
APPLIANCES,664.51,5,326,12
APPLIANCES,331.7,1,326,13
APPLIANCES,196.94,5,326,14
APPLIANCES,127.16,3,326,15
APPLIANCES,298.32,3,326,16
APPLIANCES,11.11,1,326,17
APPLIANCES,27,1,326,18
APPLIANCES,96.75,1,326,20
APPLIANCES,12.96,1,326,21
APPLIANCES,18.02,1,327,8
APPLIANCES,163.46,3,327,9
APPLIANCES,94.6,1,327,10
APPLIANCES,768.52,7,327,11
APPLIANCES,296.36,4,327,12
APPLIANCES,243.47,5,327,13
APPLIANCES,117.66,3,327,14
APPLIANCES,201.22,5,327,15
APPLIANCES,410.68,4,327,16
APPLIANCES,207.45,5,327,17
APPLIANCES,101,1,327,18
APPLIANCES,67.27,1,327,19
APPLIANCES,67.74,2,328,10
APPLIANCES,365.81,3,328,11
APPLIANCES,140.7,2,328,12
APPLIANCES,519.96,4,328,13
APPLIANCES,236.74,4,328,14
APPLIANCES,1078.66,7,328,15
APPLIANCES,313.45,3,328,16
APPLIANCES,227.94,2,328,17
APPLIANCES,97.24,2,328,18
APPLIANCES,42.8,1,329,8
APPLIANCES,631.56,3,329,10
APPLIANCES,87.99,2,329,11
APPLIANCES,299.52,3,329,12
APPLIANCES,174.4,5,329,13
APPLIANCES,85.26,2,329,14
APPLIANCES,38.88,1,329,15
APPLIANCES,70.2,1,329,18
APPLIANCES,311.19,3,330,10
APPLIANCES,323.73,6,330,11
APPLIANCES,147.57,3,330,12
APPLIANCES,27.38,1,330,13
APPLIANCES,228.64,4,330,14
APPLIANCES,144.4,2,330,15
APPLIANCES,183.8,3,330,16
APPLIANCES,43,1,330,17
APPLIANCES,210.92,1,330,18
APPLIANCES,129.6,2,330,19
APPLIANCES,27,1,330,20
APPLIANCES,54.55,1,331,6
APPLIANCES,175.82,1,331,8
APPLIANCES,153.39,3,331,9
APPLIANCES,28.01,1,331,10
APPLIANCES,290.47,4,331,11
APPLIANCES,153.69,1,331,12
APPLIANCES,250.55,4,331,13
APPLIANCES,590.68,9,331,14
APPLIANCES,544.73,2,331,15
APPLIANCES,258.57,4,331,16
APPLIANCES,313.04,2,331,18
APPLIANCES,272.93,3,333,6
APPLIANCES,147.97,3,333,7
APPLIANCES,634.9,5,333,8
APPLIANCES,557.49,5,333,9
APPLIANCES,464.58,6,333,10
APPLIANCES,878.12,6,333,11
APPLIANCES,729.25,12,333,12
APPLIANCES,331.23,6,333,13
APPLIANCES,119.85,3,333,14
APPLIANCES,221.71,4,333,15
APPLIANCES,182.09,3,333,16
APPLIANCES,12.26,1,333,17
APPLIANCES,151.55,1,333,18
APPLIANCES,190.99,2,333,19
APPLIANCES,196.1,1,334,8
APPLIANCES,224.85,5,334,9
